currency, time
4131.39,00:11
4064.87,00:26
4058.72,00:41
4163.67,00:56
4193.0,01:11
4101.4,01:27
3986.94,01:42
3927.44,01:57
3774.25,02:12
3913.71,02:27
3990.24,02:42
3970.82,02:57
3953.9,03:12
3957.8,03:27
3934.87,03:42
3989.38,03:57
4025.58,04:12
4037.84,04:28
4007.87,04:43
4026.45,04:58
3977.44,05:13
3940.29,05:28
3910.33,05:43
3916.73,05:58
4001.01,06:13
3965.82,06:28
3949.36,06:43
3900.8,06:58
3936.15,07:14
3999.05,07:29
3998.35,07:44
4008.74,07:59
4011.49,08:14
4002.5,08:29
3999.16,08:44
4030.8,08:59
4017.4,09:14
3997.63,09:29
3997.49,09:32
3982.94,09:47
3979.28,10:02
3946.95,10:17
3937.24,10:32
3901.86,10:47
3862.73,11:03
3862.47,11:18
3817.49,11:33
3757.66,11:48
3721.57,12:03
3811.9,12:16
3775.46,12:31
3739.64,12:42
3683.22,12:57
3650.0,13:12
3715.9,13:28
3744.08,13:43
3769.62,13:58
3738.6,14:13
3823.07,14:28
3814.63,14:43
3814.2,14:59
3849.96,15:14
3784.4,15:29
3860.51,15:45
3872.83,16:00
3917.58,16:15
3906.25,16:30
3884.34,16:45
3874.42,17:00
3834.18,17:15
3834.97,17:30
3811.66,17:46
3767.0,18:01
3825.8,18:16
3867.53,18:31
3856.24,18:46
3724.68,19:01
3671.26,19:16
3645.03,19:31
3637.59,19:46
3750.49,20:02
3734.57,20:17
3693.88,20:32
3622.72,20:47
3610.63,21:02
3650.18,21:17
3701.64,21:32
3717.12,21:47
3671.26,22:02
3696.14,22:18
3713.48,22:33
3722.02,22:48
3726.58,23:03
3770.02,23:18
3788.92,23:33
3746.73,23:48
