cpu temperature, time
37.972,00:03
39.433,00:18
38.459,00:33
39.433,00:48
38.946,01:03
38.946,01:19
37.972,01:34
38.459,01:49
38.946,02:04
39.92,02:19
39.433,02:34
38.946,02:49
39.92,03:04
38.459,03:20
38.946,03:35
36.998,03:50
38.946,04:05
37.972,04:20
38.946,04:35
38.459,04:50
38.946,05:05
38.459,05:21
38.946,05:36
38.459,05:51
37.972,06:06
38.946,06:21
38.946,06:36
39.433,06:51
38.946,07:07
37.972,07:22
38.946,07:37
37.972,07:52
39.433,08:07
38.459,08:22
39.433,08:37
38.459,08:52
37.485,09:08
36.998,09:23
36.998,09:38
38.946,09:53
40.407,10:08
40.894,10:23
40.407,10:38
40.894,10:53
41.381,11:09
41.868,11:24
41.868,11:39
41.381,11:54
42.355,12:09
41.868,12:24
41.868,12:39
43.816,12:54
42.842,13:10
42.842,13:25
41.868,13:40
41.868,13:55
40.407,14:10
41.381,14:25
